tweet,id,name,location,topic,created_at,processed_on
Moderna…boosted!!!! #moderna #covidvacccine #covidvaccineboosterdose #boostershot #sanfrancisco #covid_19… https://t.co/JkLXFsCyEk,1466958745053720577,Andrew Forbes,,ModernaBoosterShot ,Sat Dec 04 02:33:14 +0000 2021,2021-12-08 17:10:45
"Doing my part to keep us safe 🖤
#modernaboostershot #moderna https://t.co/6uXqMk56Gz",1466863955125542914,Annabella Rios-Nunez,UNITED STATES ,ModernaBoosterShot ,Fri Dec 03 20:16:34 +0000 2021,2021-12-08 17:10:45
We got our Booster Shots today .. so far no side effects at all. #ModernaBoosterShot https://t.co/uhLmHZSPJx,1466860876959469570,Diana,South Texas Coast ,ModernaBoosterShot ,Fri Dec 03 20:04:20 +0000 2021,2021-12-08 17:10:45
Glad I got my #Booster today (Pfizer)! Also at the pharmacy were a (1) first timer who wanted J&amp;J (she wanted to be… https://t.co/ZN2ihWiv4c,1468686303768236032,whistlin’ in the wind,"Arlington, VA USA",ModernaBooster ,Wed Dec 08 20:57:56 +0000 2021,2021-12-08 17:10:46
"Officially jabbed!!! 
💉💉💉 #ModernaBooster",1468686281416736768,Mother of Dogs...and a cat😷💙💚🏈⚾🏌️,"Upper Left, USA",ModernaBooster ,Wed Dec 08 20:57:51 +0000 2021,2021-12-08 17:10:46
"@chrischirp Took 8hrs after my #ModernaBooster then wiped for 6 days #musclepain, #sensitiveskin, #fatigue,… https://t.co/OvMtyzSb1Y",1468677311700652042,😷Hillforter🇪🇺#RejoinEU,#NHS #MedEd (Retired) 🏅GC 🙄,ModernaBooster ,Wed Dec 08 20:22:12 +0000 2021,2021-12-08 17:10:46
Getting my microchip software updated today. #booster #GetVaccinated #ModernaBooster,1468673751063535618,Nick,,ModernaBooster ,Wed Dec 08 20:08:03 +0000 2021,2021-12-08 17:10:46
Booster invite received! I'll be getting jabbed next Wednesday with a tasty splash of Moderna! Bring it on!!Hopeful… https://t.co/x8ic9lfWph,1468669068525846529,Eileen G,"Dublin City, Ireland",ModernaBooster ,Wed Dec 08 19:49:27 +0000 2021,2021-12-08 17:10:46
Does the #ModernaBooster  knock you down the way the 2nd #moderna shot does . I need the booster but I gotta sandwich on my off days .,1468664154097602566,"MUMBLES @ Wakanda PD, Tycho Station🚀🪐",Wakanda,ModernaBooster ,Wed Dec 08 19:29:55 +0000 2021,2021-12-08 17:10:46
"So, all back to normal now… can’t say I felt ill, just a bit spaced out. Deathly tired though - early night tonight.
#ModernaBooster",1468662788713295875,Laurence Akers,"London, England",ModernaBooster ,Wed Dec 08 19:24:29 +0000 2021,2021-12-08 17:10:46
I just had my 3rd jab of Moderna. #COVIDVaccination #ModernaBooster,1468647908631216130,MIQQA🏴‍☠️,Washington State,ModernaBooster ,Wed Dec 08 18:25:22 +0000 2021,2021-12-08 17:10:46
"Anthony Fauci a total disgrace to the Health community.  Fauci flip flop every week, distorts information, protects… https://t.co/a1k2kwDFQE",1468645762212892677,Lorenzo Alvarez,"San Francisco, CA",ModernaBooster ,Wed Dec 08 18:16:50 +0000 2021,2021-12-08 17:10:46
"Moderna's trending, but, contrary to corporate media propaganda, its NOT SHARING its patent with poorer countries a… https://t.co/6gSSpcqN2K",1468643540670496768,Iqbal Faizer,"Toronto, Ontario",ModernaBooster ,Wed Dec 08 18:08:00 +0000 2021,2021-12-08 17:10:46
I’m trying to write about my experience with the #ModernaBooster bit by bit in my draft tweets. Having #MEcfs makes… https://t.co/EWR1eWqz6C,1468640782374608901,La Fair,"England, United Kingdom",ModernaBooster ,Wed Dec 08 17:57:03 +0000 2021,2021-12-08 17:10:46
That's me being triple vaccinated - I got my booster shot today and now I have three @moderna_tx stickers in my alb… https://t.co/73wuC8otPt,1468633558394753033,🔴X TravellingTheWorlds🐧🔥🇪🇺🇩🇪🇬🇧🇺🇸,,ModernaBooster ,Wed Dec 08 17:28:20 +0000 2021,2021-12-08 17:10:46
"hey @moderna_tx 
would really be nice if you could tell us about the efficacy of YOUR booster (the half dose which… https://t.co/cjyvRipGqg",1468629911569063938,carol,Midwest,ModernaBooster ,Wed Dec 08 17:13:51 +0000 2021,2021-12-08 17:10:46
Fauci gets royalties on the sale of the Moderna vaccine.  The CDC owns royalties on flu shots and childhood vaccine… https://t.co/YeqipMkr09,1468629789804142597,#Nix46,United States,ModernaBooster ,Wed Dec 08 17:13:22 +0000 2021,2021-12-08 17:10:46
Got my third #CovidVaccine today! No cute Ivy pic this time because she was at preschool. Got #ModernaBooster becau… https://t.co/jVJdd0qs76,1468629129910267910,Kimberly Cloonan,"San Antonio, TX",ModernaBooster ,Wed Dec 08 17:10:45 +0000 2021,2021-12-08 17:10:46
